19:08:55.694 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
19:08:57.146 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/circle/cells],methods=[GET]}" onto public java.util.List<com.PitaYa.domain.circle.CircleTableViewCellDomain> com.PitaYa.GuGuDa.controllers.SportCircleTableController.trendsCells(java.lang.Integer)
19:08:57.146 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/circle/upload]}" onto public com.PitaYa.domain.common.UpladDataResult com.PitaYa.GuGuDa.controllers.SportCircleTableController.updateProfile(javax.servlet.http.HttpServletRequest)
19:08:57.149 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/updateSportRecord],methods=[POST],consumes=[application/json]}" onto public com.PitaYa.domain.common.UpladDataResult com.PitaYa.GuGuDa.controllers.SportController.addSportRecord(com.PitaYa.domain.sport.SportRecordDomain)
19:08:57.429 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Dec 29 19:08:56 CST 2015]; parent: Root WebApplicationContext
19:08:57.490 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Dec 29 19:08:56 CST 2015]; parent: Root WebApplicationContext
19:08:57.669 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'appServlet': initialization completed in 758 ms
19:09:30.832 [http-nio-8080-exec-2] INFO  com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 2xe70x9d1tvl6g21hrmwa6|53217850, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceUseNamedDriverClass -> false, identityToken -> 2xe70x9d1tvl6g21hrmwa6|53217850, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/GuGuDa, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 20, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
19:09:31.102 [http-nio-8080-exec-2] INFO  com.PitaYa.GuGuDa.aspect.LogAspectService - com.PitaYa.GuGuDa.service.circle.CircleTableService.findNewestSportCircle begin
19:09:31.172 [http-nio-8080-exec-2] INFO  com.PitaYa.GuGuDa.aspect.LogAspectService - com.PitaYa.GuGuDa.service.circle.CircleTableService.findNewestSportCircle finished
19:09:31.172 [http-nio-8080-exec-2] INFO  com.PitaYa.GuGuDa.aspect.LogAspectService - com.PitaYa.GuGuDa.service.circle.CircleTableService.findNewestSportCircle successed
